food_name,food_type,amount,unit,calories(g),fats(g),carbs(g),protein(g),saturated_fat(g),cholesterol(mg),sodium(mg),dietary_fiber(g),sugars(g),calcium(mg),iron(mg),potassium(mg),vitamin_A(mcg),vitamin_C(mg)
đường,gia vị,115,gram,445,0,114.98,0,0,0,0,0,114.9,1,0.01,2,0,0
đường,gia vị,119,gram,461,0,118.98,0,0,0,0,0,118.89,1,0.01,2,0,0
đường,gia vị,120,gram,464,0,119.98,0,0,0,0,0,119.89,1,0.01,2,0,0
đường,gia vị,121,gram,468,0,120.98,0,0,0,0,0,120.89,1,0.01,2,0,0
đường,gia vị,123,gram,476,0,122.98,0,0,0,0,0,122.89,1,0.01,2,0,0
đường,gia vị,125,gram,484,0,124.98,0,0,0,0,0,124.89,1,0.01,2,0,0
đường,gia vị,129,gram,499,0,128.97,0,0,0,0,0,128.88,1,0.01,3,0,0
đường,gia vị,130,gram,503,0,129.97,0,0,0,0,0,129.88,1,0.01,3,0,0
đường,gia vị,131,gram,507,0,130.97,0,0,0,0,0,130.88,1,0.01,3,0,0
đường,gia vị,133,gram,515,0,132.97,0,0,0,0,0,132.88,1,0.01,3,0,0
đường,gia vị,135,gram,522,0,134.97,0,0,0,0,0,134.88,1,0.01,3,0,0
đường,gia vị,139,gram,538,0,138.97,0,0,0,0,0,138.87,1,0.01,3,0,0
đường,gia vị,140,gram,542,0,139.97,0,0,0,0,0,139.87,1,0.01,3,0,0
đường,gia vị,141,gram,546,0,140.97,0,0,0,0,0,140.87,1,0.01,3,0,0
đường,gia vị,143,gram,553,0,142.97,0,0,0,0,0,142.87,1,0.01,3,0,0
đường,gia vị,145,gram,561,0,144.97,0,0,0,0,0,144.87,1,0.01,3,0,0
đường,gia vị,149,gram,577,0,148.97,0,0,0,0,0,148.87,1,0.01,3,0,0
đường,gia vị,150,gram,580,0,149.97,0,0,0,0,0,149.86,2,0.02,3,0,0
đường,gia vị,151,gram,584,0,150.97,0,0,0,0,0,150.86,2,0.02,3,0,0
đường,gia vị,153,gram,592,0,152.97,0,0,0,0,0,152.86,2,0.02,3,0,0
đường,gia vị,155,gram,600,0,154.97,0,0,0,0,0,154.86,2,0.02,3,0,0
đường,gia vị,159,gram,615,0,158.97,0,0,0,0,0,158.86,2,0.02,3,0,0
đường,gia vị,160,gram,619,0,159.97,0,0,0,0,0,159.86,2,0.02,3,0,0
đường,gia vị,161,gram,623,0,160.97,0,0,0,0,0,160.86,2,0.02,3,0,0
đường,gia vị,163,gram,631,0,162.97,0,0,0,0,0,162.85,2,0.02,3,0,0
đường,gia vị,165,gram,639,0,164.97,0,0,0,0,0,164.85,2,0.02,3,0,0
đường,gia vị,169,gram,654,0,168.97,0,0,0,0,0,168.85,2,0.02,3,0,0
đường,gia vị,170,gram,658,0,169.97,0,0,0,0,0,169.85,2,0.02,3,0,0
đường,gia vị,171,gram,662,0,170.97,0,0,0,0,0,170.85,2,0.02,3,0,0
đường,gia vị,173,gram,670,0,172.97,0,0,0,0,0,172.84,2,0.02,3,0,0
đường,gia vị,175,gram,677,0,174.96,0,0,0,0,0,174.84,2,0.02,4,0,0
đường,gia vị,179,gram,693,0,178.96,0,0,0,0,0,178.84,2,0.02,4,0,0
đường,gia vị,180,gram,697,0,179.96,0,0,0,0,0,179.84,2,0.02,4,0,0
đường,gia vị,181,gram,700,0,180.96,0,0,0,0,0,180.84,2,0.02,4,0,0
đường,gia vị,183,gram,708,0,182.96,0,0,0,0,0,182.84,2,0.02,4,0,0
đường,gia vị,185,gram,716,0,184.96,0,0,0,0,0,184.83,2,0.02,4,0,0
đường,gia vị,189,gram,731,0,188.96,0,0,0,0,0,188.83,2,0.02,4,0,0
đường,gia vị,190,gram,735,0,189.96,0,0,0,0,0,189.83,2,0.02,4,0,0
đường,gia vị,191,gram,739,0,190.96,0,0,0,0,0,190.83,2,0.02,4,0,0
đường,gia vị,193,gram,747,0,192.96,0,0,0,0,0,192.83,2,0.02,4,0,0
đường,gia vị,195,gram,755,0,194.96,0,0,0,0,0,194.82,2,0.02,4,0,0
đường,gia vị,199,gram,770,0,198.96,0,0,0,0,0,198.82,2,0.02,4,0,0
đường,gia vị,200,gram,774,0,199.96,0,0,0,0,0,199.82,2,0.02,4,0,0
đường,gia vị,201,gram,778,0,200.96,0,0,0,0,0,200.82,2,0.02,4,0,0
đường,gia vị,203,gram,786,0,202.96,0,0,0,0,0,202.82,2,0.02,4,0,0
đường,gia vị,205,gram,793,0,204.96,0,0,0,0,0,204.82,2,0.02,4,0,0
đường,gia vị,209,gram,809,0,208.96,0,0,0,0,0,208.81,2,0.02,4,0,0
đường,gia vị,210,gram,813,0,209.96,0,0,0,0,0,209.81,2,0.02,4,0,0
đường,gia vị,211,gram,817,0,210.96,0,0,0,0,0,210.81,2,0.02,4,0,0
đường,gia vị,213,gram,824,0,212.96,0,0,0,0,0,212.81,2,0.02,4,0,0
đường,gia vị,215,gram,832,0,214.96,0,0,0,0,0,214.81,2,0.02,4,0,0
đường,gia vị,219,gram,848,0,218.96,0,0,0,0,0,218.8,2,0.02,4,0,0
